team,elo,p_advance,p_qf,p_semi,p_final,p_champion
Spain,2216.3258601057723,0.9929,0.8138,0.6416,0.4885,0.1853
Argentina,2175.854475052916,0.9762,0.7579,0.5697,0.4083,0.1343
France,2141.245226103406,0.9533,0.7118,0.5037,0.3284,0.1007
England,2092.4574852946484,0.979,0.6738,0.4334,0.257,0.0738
Brazil,2040.0374159169583,0.9585,0.5984,0.3438,0.1861,0.0466
Colombia,2043.1708585568736,0.931,0.5938,0.3438,0.1848,0.046
Netherlands,2043.801215131424,0.9504,0.5989,0.346,0.1908,0.0447
Germany,2036.8210219596735,0.9678,0.6038,0.3367,0.1708,0.0395
Portugal,2025.3788069571058,0.9142,0.5558,0.3119,0.1619,0.0356
Morocco,2017.883069211735,0.9319,0.5538,0.2985,0.1463,0.0329
Japan,2013.9160620903924,0.8979,0.5241,0.2877,0.1419,0.031
Ecuador,2004.7341402960462,0.9479,0.5442,0.2849,0.134,0.0287
Croatia,1983.1553763010418,0.9297,0.5123,0.257,0.1189,0.0234
Mexico,1970.0377696858827,0.9487,0.5169,0.2534,0.1128,0.022
Switzerland,1962.5410390352338,0.9214,0.4832,0.2303,0.0956,0.0177
Norway,1966.6053288949133,0.8316,0.441,0.21,0.0917,0.0166
Turkey,1959.6939734369673,0.7764,0.4134,0.1952,0.0829,0.0163
Uruguay,1962.7221954507613,0.9144,0.4756,0.2251,0.0937,0.0161
Belgium,1945.2972361560983,0.8782,0.4418,0.1951,0.074,0.0122
United States,1907.6648350052587,0.8133,0.3749,0.1459,0.05,0.0096
Canada,1907.9881240084833,0.9674,0.4409,0.1727,0.066,0.0092
Senegal,1912.0048063250983,0.7289,0.3354,0.1387,0.0505,0.0085
Austria,1904.7736974627314,0.7684,0.3404,0.1362,0.0466,0.0072
Australia,1919.8899596340375,0.6641,0.3107,0.1249,0.0443,0.0062
Iran,1896.2461507456226,0.8008,0.3535,0.1354,0.0441,0.0057
South Korea,1887.60712083632,0.8086,0.3375,0.1241,0.0385,0.0057
Paraguay,1896.0828558507512,0.5375,0.2364,0.0911,0.0292,0.0046
Panama,1853.0766858669576,0.685,0.2581,0.0885,0.0259,0.0037
Uzbekistan,1859.792300586033,0.5821,0.2214,0.0751,0.0225,0.0035
Scotland,1838.2078584061735,0.6213,0.2257,0.0706,0.0175,0.0023
Algeria,1854.582678777342,0.5982,0.2279,0.0727,0.0205,0.0023
Ivory Coast,1804.322985897246,0.6364,0.2007,0.0584,0.0129,0.0016
Egypt,1799.7891695425649,0.5916,0.1868,0.0492,0.0115,0.0015
Jordan,1790.498226004137,0.3623,0.1095,0.0314,0.0064,0.0011
New Zealand,1767.4383062196312,0.4477,0.1298,0.0309,0.0074,0.001
Czech Republic,1793.4733589829361,0.6153,0.1894,0.0513,0.0127,0.0009
Sweden,1788.109701676317,0.4363,0.1347,0.0335,0.0074,0.0006
Iraq,1748.6336218729498,0.2416,0.0665,0.0134,0.0022,0.0003
DR Congo,1757.240974267849,0.2906,0.0816,0.0184,0.0044,0.0003
Tunisia,1742.2464788780692,0.3593,0.0934,0.0214,0.0045,0.0003
Saudi Arabia,1706.9074730803745,0.3545,0.0797,0.0155,0.0024,0.0002
Cape Verde,1645.9570552442437,0.2018,0.0346,0.0043,0.0008,0.0001
Haiti,1662.0800757318705,0.1699,0.0306,0.0048,0.0008,0.0001
South Africa,1678.2553807681484,0.2803,0.0494,0.0075,0.0012,0.0001
Bosnia and Herzegovina,1659.146504011665,0.3649,0.0654,0.0086,0.0007,0.0
Qatar,1624.8619742109304,0.2451,0.0367,0.0039,0.0004,0.0
Curaçao,1604.20297145555,0.109,0.0153,0.0019,0.0002,0.0
Ghana,1620.0238852021284,0.1164,0.0188,0.0019,0.0001,0.0
